location	part	query	price	full	link
Amazon	COOL	MSI MAG CORELIQUID E360	1714.77	MSI MAG CORELIQUID C360 Refrigeración Líquida CPU AIO - Excepcional Blockhead ARGB, Bomba de Radiador Integrada, Flujo Dividido, Tubería a Prueba de Evaporación, Fácil de Instalar - Admite AMD e Intel	https://www.amazon.com.mx/MSI-CORELIQUID-Ventilador-Soporte-soporta/dp/B0992176M7/ref=sr_1_2?dib=eyJ2IjoiMSJ9.dNpNx0QAVmApD3Ebj2ongAMo0OAzR49K0S-bpHSgPkp-1-XcZbQpaDgulzhv1a_MhYt5O_TfJqdWNuvVcj6kFX7JrUGE5lGNdtxDYWoL2SbhwIFUb_kEuOxhCxFNYFh3sW1TBCg-oxjrU8H-Bufs9pTV3ZSgcPvhRUwDQHXDIli-sHRItOJBeLJ3Cweavrj-adDtgcWPLjIsH0G_QErd4qARucMr9WKJwuPMmVPxzE6Mi6j5u4-UwijyEpxJGZejz3A43jA5DIoHpApwOyy_JLyZAdEpZsnSHGOFeXYYyiI.xZ1J4L5TVP8RevRRrg8py5Pwdrbbe2z5VMLNB16Rqn8&dib_tag=se&keywords=MSI+MAG+CORELIQUID+E360&qid=1715890206&sr=8-2&ufe=app_do%3Aamzn1.fos.4e545b5e-1d45-498b-8193-a253464ffa47
Amazon	CPU	AMD 7950X	6944.0	AMD Ryzen™ 9 7900X Procesador	https://www.amazon.com.mx/AMD-RyzenTM-9-7900X-Procesador/dp/B0BBJ59WJ4/ref=sr_1_3?dib=eyJ2IjoiMSJ9.kqSygJemgeY_xFefuYu1OM_OU90HTwsFmYht6Asc8HxnObdsh_4uzUUW8e-p8zmvOkvROwNElyZ7ExpClcoaVB5PlR3kd2QomOgFz8bbdQ6u8PFmuv-T8ZxaBEMEPJTt0WGYpwtLrIBZYVjgIKSG6h-Dyp9HM1V69mWagxDMyU_whGVlfNS1yBZhccNvQW2WvNW7b86-BXNNNK5N87xAL9S8r5P6w2mRB9b1p0EppZhM5DxT0lGqrXbA-hLEoDKY2irY6-kATHNgeJ4FhhpJk6OhJBGB10P9hGxxMdMV49g.q7xSTiFY1h_20dosO4U2r345I3PQqqA7UkrD151LUQI&dib_tag=se&keywords=AMD+7950X&qid=1715890132&sr=8-3&ufe=app_do%3Aamzn1.fos.4e545b5e-1d45-498b-8193-a253464ffa47
Amazon	GAB	MSI MAG PANO M100R PZ	780.0	MSI Gabinete Gaming mag Shield M301	https://www.amazon.com.mx/MSI-Gabinete-Gaming-Shield-M301/dp/B0BB6YSZ36/ref=sr_1_3?dib=eyJ2IjoiMSJ9.pNmRdv14AUXLRPJWrY7dLtnCEB8Ln4XH1NxjFo79yAA4aME4eA52gLFKBcLRaUw9.-7eC9AHOtGdSxhFfxz_XXxF63p_Ik97ZmIpTwU3AEwA&dib_tag=se&keywords=MSI+MAG+PANO+M100R+PZ&qid=1715890170&sr=8-3&ufe=app_do%3Aamzn1.fos.4e545b5e-1d45-498b-8193-a253464ffa47
Cyberpuerta	GPU	4070 Ti Super	15179.0	Tarjeta de Video Zotac NVIDIA GAMING GeForce RTX 4070 Ti SUPER Trinity, 16GB 256-bit GDDR6X, PCI Express 4.0 x16	https://www.cyberpuerta.mx/Computo-Hardware/Componentes/Tarjetas-de-Video/Tarjeta-de-Video-Zotac-NVIDIA-GAMING-GeForce-RTX-4070-Ti-SUPER-Trinity-16GB-256-bit-GDDR6X-PCI-Express-4-0-x16.html
Cyberpuerta	MB	MSI B650M	2199.0	Tarjeta Madre MSI Micro-ATX PRO B650M-P, S-AM5, AMD B650, HDMI, 192GB DDR5 para AMD	https://www.cyberpuerta.mx/Computo-Hardware/Componentes/Tarjetas-Madre/Tarjeta-Madre-MSI-Micro-ATX-PRO-B650M-P-S-AM5-AMD-B650-HDMI-192GB-DDR5-para-AMD.html
Amazon	PSU	XPG KYBER 850W 80 PLUS Gold	1519.0	XPG Fuente De Poder Gamer KYBER 750W 80 Plus Gold KYBER750G-BKCUS	https://www.amazon.com.mx/XPG-Fuente-Poder-Gamer-KYBER750G-BKCUS/dp/B0C926B83Y/ref=sr_1_2?dib=eyJ2IjoiMSJ9.rSd-bdBGYEX41fKOepd-J9Xo8oyKqYdipogfRz0oqtw7rX3KKqA61pC4eCI00rGF4M5C04dtZYvvuCUwRzxE4HYIMnvA8VCzEyDGXfaQ6cE7NLbbargB4KyzLxkpeFg89UDfbk9dihxxhOzckZF5gBjK53QTnPPwVmFJoFlpjyup6DujfLABe4sk-V4G3n8YTsWMN9Qf3tFAJryfFFwEsaTVJBEhrzG0-OIGhbjvuDehDgc3xs4bE59ayK_O0BqsgwFCZ6p231MAqo0JVJfzDKFPvYCrIpN9_zVmCoU58-k.DQlqQgI5lld4r1NSSSwsq-mPHZNweK4RdAM98A43izs&dib_tag=se&keywords=XPG+KYBER+850W+80+PLUS+Gold&qid=1715890219&sr=8-2&ufe=app_do%3Aamzn1.fos.628a2120-cf12-4882-b7cf-30e681beb181
Amazon	RAM	DDR5 64GB	3089.0	Corsair Vengeance DDR5 RAM de 64 GB (2 x 32 GB) 5200 MHz CL40 Intel XMP iCUE Memoria de computadora Compatible - Blanco (CMK64GX5M2B5200C40W)	https://www.amazon.com.mx/Corsair-optimizada-computadora-Rendimiento-procesamiento/dp/B09Y99CRP9/ref=sr_1_5?dib=eyJ2IjoiMSJ9.5OTvzZEim74hLHUDWLE6hXNjcXOv9Qd7QOZ6UABiknYdX0KpKMnDBt4vQ2SFJI1BVi-UywKtDN-7X_qZ06rIMSZEJM0Lwyb-u1smhTjo6tfuHkej0aXPH-UTvsT-oIMJTs70pVPKW3CD69zqpv-OOdNcSP2FEse8n02P9bbBwE6fUtYESN3RjDtNDFLt38kpfc7LiQZ1S7uY3MSU0CgTfTC7KXr3EVd2t5xDmQHxsMbSjAp1Ggy7ks2seXWe7JDmg_pN8k0yqsGN-YrFNPYgxKyRC5NODz1eWZJgT81tAEc.DJyFCekPc8uydK9FnjGXJ0vaMbFCsVqth2ZVTbROcv8&dib_tag=se&keywords=DDR5+64GB&qid=1715890194&sr=8-5&ufe=app_do%3Aamzn1.fos.628a2120-cf12-4882-b7cf-30e681beb181
Cyberpuerta	SSD	SSD 2TB	1809.0	SSD Acer FA200 NVMe, 2TB, PCI Express 4.0, M.2	https://www.cyberpuerta.mx/Computo-Hardware/Discos-Duros-SSD-NAS/SSD/SSD-Acer-FA200-NVMe-2TB-PCI-Express-4-0-M-2.html
